Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,24.0,1,41,1,1,0,35805,152,224,0.0
0,30.0,1,28,0,0,1,51854,26,97,1.0
1,58.0,1,28,0,0,1,2630,26,213,1.0
0,45.0,1,46,0,0,1,19771,21,126,1.0
1,31.0,1,28,0,1,1,2630,152,103,0.0
1,24.0,1,13,0,1,1,35717,152,234,0.0
1,53.0,1,28,1,0,0,28810,26,194,0.0
1,51.0,1,17,0,0,1,51778,124,56,1.0
1,23.0,1,15,1,1,0,43137,152,178,0.0
1,24.0,1,5,0,1,1,26068,152,128,0.0
0,41.0,1,18,0,2,1,35780,124,256,1.0
1,59.0,1,28,0,0,1,28865,124,243,1.0
1,32.0,1,28,0,1,1,28360,124,184,1.0
0,27.0,1,34,1,0,0,33338,124,110,0.0
0,50.0,1,28,0,0,1,50609,26,11,1.0
0,35.0,1,8,0,0,1,2630,157,99,0.0
0,23.0,1,37,0,1,1,33778,152,59,0.0
1,21.0,1,15,0,1,1,47795,160,154,0.0
0,22.0,1,21,0,1,1,25893,152,39,0.0
1,23.0,1,15,0,1,0,33407,152,115,0.0
0,52.0,1,41,0,0,1,29121,4,120,1.0
0,24.0,1,28,0,1,1,2630,152,206,1.0
1,40.0,1,6,0,0,1,26694,111,108,1.0
1,61.0,1,28,0,2,1,41657,26,234,1.0
1,41.0,1,29,0,0,1,31389,124,221,1.0
1,26.0,1,46,1,1,0,42166,152,264,0.0
1,53.0,1,38,0,0,0,25385,124,60,1.0
1,43.0,1,8,0,0,0,34012,160,155,0.0
1,29.0,1,5,0,0,1,29591,156,164,1.0
1,47.0,1,35,0,0,1,2630,157,249,1.0
0,45.0,1,29,0,0,1,2630,156,134,1.0
0,45.0,1,46,0,0,1,20900,156,178,0.0
0,44.0,1,50,0,0,1,72002,8,230,1.0
0,35.0,1,47,0,0,1,37135,26,20,1.0
0,23.0,1,41,0,1,0,27899,151,128,0.0
1,40.0,1,28,0,0,1,2630,26,201,0.0
0,49.0,1,16,1,0,0,37090,152,191,0.0
1,47.0,1,28,0,0,1,60480,26,183,1.0
1,43.0,1,7,0,0,1,47908,154,214,1.0
1,34.0,1,21,0,0,1,26179,154,20,1.0
1,25.0,1,10,1,1,0,24038,152,73,0.0
1,58.0,1,28,0,2,1,34189,26,16,1.0
1,42.0,1,39,0,0,1,31864,124,158,0.0
1,41.0,1,28,0,0,1,26564,26,277,1.0
1,74.0,1,33,1,0,0,30883,26,129,0.0
1,47.0,1,28,0,0,1,39522,124,253,1.0
0,24.0,1,50,0,1,0,29549,151,282,0.0
1,26.0,1,3,1,1,0,24714,152,270,0.0
